Year,Date_of_capture,Pass,Latitude,Longitude,Depth_m,Region,SEX,Length,Length_manual,Length_manual_2,Wt_kg,Age,Certainty,Biological_maturity,Functional_maturity,Prop_atresia,Oocyte_1,Oocyte_2,Oocyte_3,Oocyte_4_1,Oocyte_4_2,Oocyte_5,Oocyte_6,Oocyte_7,Oocyte_8,Oocyte_9,Oocyte_10,POFs,Spawning,Spent,SLIDE_IDENTIFIER,highest_o_stage,Max_mat_stage
2015,7/7/2015 0:00,1,34.24693093,-120.5178465,500.23,2,f,30,30,30,0.44,,1,1,1,0.15,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,0,0,41267,6,4
2015,10/5/2015 0:00,2,34.92525165,-121.0602796,437.74,2,f,30,30,30,0.4,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11961,6,4
2015,6/6/2015 0:00,1,44.79712167,-124.86745,456.11,1,f,30,30,30,0.48,,1,1,1,0.02,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,8762,7,5
2015,10/1/2015 0:00,2,35.60072238,-121.4343249,530.64,2,f,30,30,30,0.48,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11441,6,4
2015,8/24/2015 0:00,2,46.63855944,-124.8094389,447.42,1,f,30,30,30,0.44,,1,1,1,0.1,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,12171,11,7
2015,7/5/2015 0:00,1,34.78214603,-121.2552341,443.2,2,f,30,30,30,0.46,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11115,11,7
2015,8/23/2015 0:00,2,44.81809062,-124.7784689,415.38,1,f,30,30,30,0.48,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11772,11,7
2015,6/20/2015 0:00,1,41.26716083,-124.4343633,374.29,1,f,30,30,30,0.48,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,8619,10,6
2016,7/12/2016 12:41,1,33.85409477,-120.2549249,508.6,2,F,30,30,30,0.46,,1,1,1,0.1,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,20170045,4.2,3
2016,5/24/2016 13:32,1,47.20451491,-124.9630244,414.2,1,F,30,30,30,0.44,,1,1,1,0.02,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,20017025.1,7,5
2016,6/30/2016 14:37,1,36.35424248,-122.1015791,445.1,2,F,30,30,30,0.44,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8141074,11,7
2016,5/21/2016 16:44,1,45.50928192,-124.6316128,454.4,1,F,29.5,29.5,29.5,0.44,,1,1,1,0.08,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,8004004,7,5
2016,5/22/2016 12:36,1,45.60301612,-124.5958263,374.7,1,F,29.5,29.5,29.5,0.44,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20007016,6,4
2016,6/21/2016 15:38,1,39.03949343,-123.986883,470.9,2,F,29.5,29.5,29.5,0.52,,1,1,1,0.03,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,8121044,6,4
2016,6/29/2016 13:32,1,37.27513288,-122.9880787,534.1,2,F,29.5,29.5,29.5,0.42,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,20124087,5,4
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,29,29,29,0.36,35,1,1,1,0.15,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2735,5,4
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,29,29,29,0.42,22,1,1,1,0.1,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2915,5,4
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,29,29,29,0.38,17,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2914,5,4
2012,9/17/2012,2,40.76656508,-124.5151104,381.2,1,f,29,29,29,0.46,17,1,1,1,0.05,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,2338,4.2,3
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,29,29,29,0.4,63,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2748,5,4
2012,7/3/2012,1,35.02146115,-121.1356959,551.2,2,f,29,29,29,0.38,32,1,1,1,0.02,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,0,0,2733,7,5
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,29,29,29,0.38,25,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,2778,6,4
2012,9/17/2012,2,40.91514568,-124.4734278,385.4,1,f,29,29,29,0.4,14,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,1,2404,11,7
2012,7/3/2012,1,34.71975242,-120.9841594,419.2,2,f,29,29,29,0.36,59,1,1,1,0.05,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,2730,11,7
2012,5/25/2012,1,47.86425832,-125.2980079,450.3,1,f,29,29,29,0.46,13,1,1,1,0.2,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,1,0,2493,9,6
2013,7/3/2013,1,36.94066029,-122.4884016,525.6,2,f,29,29,29,0.46,,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6027,5,4
2013,6/26/2013,1,39.07733285,-123.9862201,456.9,2,f,29,29,29,0.44,,1,1,1,0,Y,Y,Y,N,N,N,Y,N,N,N,N,N,0,0,6096,6,4
2013,5/25/2013,1,45.38069512,-124.6728558,434.1,1,f,29,29,29,0.42,,1,1,1,0.15,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,0,1,3492,11,7
2013,6/7/2013,1,44.90339318,-124.6936032,383.2,1,f,29,29,29,0.44,,1,1,1,0.02,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,3521,10,6
2014,9/27/2014,2,35.76714763,-121.510497,440.9,2,f,29,29,29,0.4,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6905,5,4
2014,9/29/2014,2,34.89540833,-121.2606833,532.3,2,f,29,29,29,0.36,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6907,6,4
2014,9/29/2014,2,34.89540833,-121.2606833,532.3,2,f,29,29,29,0.42,,1,1,1,0.02,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,6918,6,4
2014,7/14/2014,1,34.26628583,-120.5747675,508.3,2,f,29,29,29,0.38,,1,1,1,0.02,Y,Y,Y,N,N,N,Y,N,N,N,N,N,0,0,8696,6,4
2014,7/12/2014,1,34.36616396,-120.6968423,544.5,2,f,29,29,29,0.44,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,8322,6,4
2014,7/14/2014,1,34.26628583,-120.5747675,508.3,2,f,29,29,29,0.38,,1,1,1,0.01,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,0,0,8606,6,4
2014,8/31/2014,2,47.23082295,-124.9938405,421.4,1,f,29,29,29,0.46,,1,1,1,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8533,11,7
2014,9/6/2014,2,44.83486143,-124.7909624,414.1,1,f,29,29,29,0.38,,1,0,0,0.3,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,8748,3,2
2015,6/6/2015 0:00,1,44.79712167,-124.86745,456.11,1,f,29,29,29,0.48,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,0,0,8763,8,5
2015,10/5/2015 0:00,2,34.83919686,-121.2159245,549.46,2,f,29,29,29,0.4,,1,1,1,0.05,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11468,4.2,3
2015,10/3/2015 0:00,2,35.1091877,-121.4864693,505.38,2,f,29,29,29,0.36,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,12093,6,4
2015,10/3/2015 0:00,2,35.1091877,-121.4864693,505.38,2,f,29,29,29,0.42,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,12111,7,5
2015,8/22/2015 0:00,2,44.93373392,-124.5490016,426.75,1,f,29,29,29,0.4,,0,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,12168,3,2
2015,5/23/2015 0:00,1,44.60632503,-124.882183,532.23,1,f,29,29,29,0.42,,1,1,1,0.15,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,11188,11,7
2015,6/21/2015 0:00,1,39.77547291,-124.0964472,433.5,2,f,29,29,29,0.4,,1,1,1,0.15,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11048,11,7
2015,8/24/2015 0:00,2,46.63855944,-124.8094389,447.42,1,f,29,29,29,0.42,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,12160,11,7
2015,8/22/2015 0:00,2,44.93373392,-124.5490016,426.75,1,f,29,29,29,0.42,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,12167,11,7
2015,6/18/2015 0:00,1,42.11778167,-124.649645,468.68,1,f,29,29,29,0.42,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11156,11,7
2015,5/28/2015 0:00,1,48.05285914,-125.3488645,454.61,1,f,29,29,29,0.4,,1,1,0,0.5,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,8918,4.1,3
2015,8/23/2015 0:00,2,45.00986633,-124.6939565,455.42,1,f,29,29,29,0.4,,1,1,0,0.3,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11782,4.2,3
2015,7/5/2015 0:00,1,35.21353333,-121.0841825,448.62,2,f,29,29,29,0.44,,0,1,0,0.25,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,41148,4.1,3
2015,6/24/2015 0:00,1,38.93898667,-124.0339492,510.82,2,f,29,29,29,0.34,,1,0,0,0.15,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,11351,3,2
2016,7/12/2016 12:41,1,33.85409477,-120.2549249,508.6,2,F,29,29,29,0.38,,1,1,1,0.2,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,20170044,4.2,3
2016,5/22/2016 9:46,1,45.56223145,-124.7072351,453.9,1,F,29,29,29,0.44,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,20006010,6,4
2016,6/18/2016 15:24,1,40.87542316,-124.4926998,447.4,1,F,28.5,28.5,28.5,0.38,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,20101034,7,5
2016,6/29/2016 13:32,1,37.27513288,-122.9880787,534.1,2,F,28.5,28.5,28.5,0.38,,1,1,1,0.05,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,20124085,11,7
2012,9/14/2012,2,41.96435366,-124.61787,453.2,1,f,28,28,28,0.42,18,1,1,1,0.05,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,0,0,2836,6,4
2012,9/28/2012,2,37.03460567,-122.6926592,474.1,2,f,28,28,28,0.36,41,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2326,5,4
2012,9/28/2012,2,37.03460567,-122.6926592,474.1,2,f,28,28,28,0.36,48,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,2335,6,4
2012,7/5/2012,1,34.8622409,-121.2966302,437.4,2,f,28,28,28,0.36,47,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2995,11,7
2012,7/1/2012,1,35.93396677,-121.5740541,427.8,2,f,28,28,28,0.36,43,1,1,0,0.7,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,0,2762,3,2
2013,6/12/2013,1,43.41282423,-124.7181235,450.8,1,f,28,28,28,0.36,,1,1,1,0.2,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,0,0,6089,7,5
2013,6/26/2013,1,38.97314382,-124.0237486,534.9,2,f,28,28,28,0.36,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6151,6,4
2013,6/26/2013,1,39.07733285,-123.9862201,456.9,2,f,28,28,28,0.38,,1,1,1,0.01,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,6155,7,5
2013,6/7/2013,1,44.90339318,-124.6936032,383.2,1,f,28,28,28,0.36,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,3514,11,7
2013,6/7/2013,1,44.90339318,-124.6936032,383.2,1,f,28,28,28,0.36,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,1,0,3038,9,6
2013,6/2/2013,1,45.12692383,-124.4828616,366.9,1,f,28,28,28,0.38,,1,1,1,0.05,N,N,N,N,N,N,N,N,N,Y,Y,Y,1,0,3029,10,6
2014,9/6/2014,2,44.86554237,-124.8693339,424.8,1,f,28,28,28,0.36,,1,1,1,0.2,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,8727,4.2,3
2014,8/24/2014,2,45.57503776,-124.6255564,425.9,1,f,28,28,28,0.36,,1,1,1,0.05,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,8451,4.2,3
2014,9/27/2014,2,35.76714763,-121.510497,440.9,2,f,28,28,28,0.4,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6813,5,4
2014,7/6/2014,1,35.09219059,-121.4019449,503,2,f,28,28,28,0.36,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6686,6,4
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,28,28,28,0.32,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6694,5,4
2014,9/29/2014,2,34.89540833,-121.2606833,532.3,2,f,28,28,28,0.34,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6946,6,4
2014,7/14/2014,1,34.26628583,-120.5747675,508.3,2,f,28,28,28,0.4,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,8702,6,4
2014,6/8/2014,1,44.87532786,-124.7262703,400,1,f,28,28,28,0.36,,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,6767,11,7
2014,9/6/2014,2,44.83486143,-124.7909624,414.1,1,f,28,28,28,0.36,,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8740,11,7
2014,7/5/2014,1,35.27571928,-121.1646408,476.3,2,f,28,28,28,0.36,,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8445,11,7
2014,5/31/2014,1,45.44067814,-124.5006458,430.5,1,f,28,28,28,0.38,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,8355,10,6
2014,6/6/2014,1,45.31115804,-124.6349973,463.9,1,f,28,28,28,0.42,,1,1,0,0.5,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,6760,4.2,3
2015,10/1/2015 0:00,2,35.59578053,-121.3938624,446.54,2,f,28,28,28,0.46,,1,1,1,0.05,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11425,4.2,3
2015,10/12/2015 0:00,2,33.98578615,-120.5073275,449.57,2,f,28,28,28,0.36,,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,11620,5,4
2015,9/29/2015 0:00,2,36.53558393,-122.0319479,477.77,2,f,28,28,28,0.36,,1,1,1,0.02,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11575,4.2,3
2015,7/7/2015 0:00,1,34.28365795,-120.4748511,443.64,2,f,28,28,28,0.36,,1,1,1,0.02,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,41202,6,4
2015,6/22/2015 0:00,1,39.44882099,-124.00755,472.79,2,f,28,28,28,0.36,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11690,6,4
2015,10/1/2015 0:00,2,35.60072238,-121.4343249,530.64,2,f,28,28,28,0.38,,1,1,1,0.01,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,11767,7,5
2015,8/23/2015 0:00,2,45.00986633,-124.6939565,455.42,1,f,28,28,28,0.4,,1,1,1,0.3,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,11805,11,7
2015,7/7/2015 0:00,1,34.28365795,-120.4748511,443.64,2,f,28,28,28,0.34,,1,1,0,0.2,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,41233,4.1,3
2015,7/5/2015 0:00,1,35.25919165,-121.109018,434.56,2,f,28,28,28,0.4,,0,1,0,0.3,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,11049,4.1,3
2015,7/5/2015 0:00,1,34.76335583,-121.29039,552.5,2,f,28,28,28,0.38,,0,0,0,0.15,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,11107,3,2
2015,6/1/2015 0:00,1,45.1679974,-124.3932318,368.07,1,f,28,28,28,0.36,,1,0,0,0.05,Y,Y,Y,N,N,N,N,N,N,N, N,Y,0,1,9016,11,7
2016,5/21/2016 16:44,1,45.50928192,-124.6316128,454.4,1,F,28,28,28,0.32,,1,1,1,0.1,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,8004005,4.2,3
2016,5/21/2016 18:09,1,45.5407908,-124.6689921,441.1,1,F,27.5,27.5,27.5,0.32,,1,1,1,0.2,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,8005008,5,4
2016,6/18/2016 15:24,1,40.87542316,-124.4926998,447.4,1,F,27.5,27.5,27.5,0.32,,1,1,1,0.03,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,20101035,7,5
2016,6/21/2016 15:38,1,39.03949343,-123.986883,470.9,2,F,27.5,27.5,27.5,0.36,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,0,0,8121042,5,4
2016,6/29/2016 11:01,1,37.27703959,-122.9630357,469.9,2,F,27.5,27.5,27.5,0.34,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,0,0,20123081,6,4
2016,6/29/2016 13:32,1,37.27513288,-122.9880787,534.1,2,F,27.5,27.5,27.5,0.34,,1,1,1,0.01,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,20124088,4.2,3
2016,5/24/2016 9:57,1,46.92808361,-125.0003865,407,1,F,27.5,27.5,27.5,0.3,,1,0,0,0.25,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,20016025.3,3,2
2012,8/19/2012,2,45.33048125,-124.72884,522.8,1,f,27,27,27,0.32,15,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2901,5,4
2012,9/14/2012,2,41.96435366,-124.61787,453.2,1,f,27,27,27,0.34,16,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2835,5,4
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,27,27,27,0.28,26,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2765,5,4
2012,7/5/2012,1,34.8622409,-121.2966302,437.4,2,f,27,27,27,0.26,40,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2921,11,7
2012,6/21/2012,1,41.62848453,-124.5073995,356.8,1,f,27,27,27,0.34,32,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2797,11,7
2012,9/28/2012,2,37.03460567,-122.6926592,474.1,2,f,27,27,27,0.32,19,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2812,11,7
2012,7/1/2012,1,35.63737441,-121.418349,433.8,2,f,27,27,27,0.36,21,1,0,0,0.25,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,2763,3,2
2013,9/6/2013,2,44.91822405,-124.7160579,409.5,1,f,27,27,27,0.34,,1,1,1,0.15,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,6292,4.1,3
2013,6/26/2013,1,39.07733285,-123.9862201,456.9,2,f,27,27,27,0.34,,1,1,1,0.01,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,0,0,6158,8,5
2013,6/7/2013,1,44.90339318,-124.6936032,383.2,1,f,27,27,27,0.34,,1,1,1,0.15,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,3518,11,7
2013,6/7/2013,1,44.96291745,-124.5101895,400.5,1,f,27,27,27,0.32,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,3508,11,7
2013,6/7/2013,1,44.90339318,-124.6936032,383.2,1,f,27,27,27,0.34,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2429,11,7
2013,6/7/2013,1,44.90339318,-124.6936032,383.2,1,f,27,27,27,0.36,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,3049,10,6
2013,6/2/2013,1,45.12692383,-124.4828616,366.9,1,f,27,27,27,0.3,,1,1,1,0,N,N,N,N,N,N,N,N,N,Y,Y,N,1,0,3037,10,6
2013,6/2/2013,1,45.12692383,-124.4828616,366.9,1,f,27,27,27,0.34,,1,1,1,0,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,1,0,3058,10,6
2013,6/26/2013,1,39.07733285,-123.9862201,456.9,2,f,27,27,27,0.32,,1,0,0,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,6152,3,2
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,27,27,27,0.3,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6963,5,4
2014,6/18/2014,1,41.76655882,-124.5135271,392.4,1,f,27,27,27,0.3,,1,1,1,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8600,11,7
2014,9/9/2014,2,43.8193775,-124.7097167,406,1,f,27,27,27,0.4,,1,0,0,0.3,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,8276,3,2
2014,9/6/2014,2,44.86554237,-124.8693339,424.8,1,f,27,27,27,0.34,,1,0,0,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,8726,3,2
2014,8/23/2014,2,44.83964792,-124.7219254,499,1,f,27,27,27,0.32,,1,0,0,0.01,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,6873,3,2
2015,10/3/2015 0:00,2,35.09564194,-121.0743057,502.54,2,f,27,27,27,0.32,,1,1,1,0.1,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11549,6,4
2015,10/12/2015 0:00,2,33.98578615,-120.5073275,449.57,2,f,27,27,27,0.32,,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,11618,5,4
2015,7/2/2015 0:00,1,36.17614368,-121.8047437,453.2,2,f,27,27,27,0.34,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11295,11,7
2015,6/19/2015 0:00,1,41.81578167,-124.5206983,407.17,1,f,27,27,27,0.32,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8908,11,7
2015,5/24/2015 0:00,1,45.66635357,-124.7595966,471.72,1,f,27,27,27,0.36,,1,1,0,0.75,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,11202,7,5
2015,6/1/2015 0:00,1,44.99920667,-124.646335,463.95,1,f,27,27,27,0.32,,1,1,0,0.6,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,11233,7,5
2015,5/28/2015 0:00,1,47.58632162,-125.1113901,455.37,1,f,27,27,27,0.34,,1,1,0,0.3,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,11043,4.1,3
2015,8/28/2015 0:00,2,46.79696,-124.9067133,477.49,1,f,27,27,27,0.34,,1,1,0,0.2,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,11518,4.1,3
2015,7/2/2015 0:00,1,36.7966275,-122.20696,462.44,2,f,27,27,27,0.3,,1,0,0,0.3,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,11116,3,2
2016,6/30/2016 14:37,1,36.35424248,-122.1015791,445.1,2,F,27,27,27,0.32,,0,1,1,0.01,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8141075,11,7
2016,6/20/2016 15:27,1,39.33768527,-124.0068676,463.9,2,F,26.5,26.5,26.5,0.32,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,20111055,7,5
2012,6/29/2012,1,37.10840148,-122.7892639,518.4,2,f,26,26,26,0.26,20,1,1,1,0.02,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,2710,7,5
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,26,26,26,0.28,41,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2764,5,4
2012,6/23/2012,1,40.4522642,-124.6340745,495.5,1,f,26,26,26,0.28,17,1,1,0,0.05,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,2788,4.1,3
2012,6/24/2012,1,40.11927151,-124.3851879,498.9,2,f,26,26,26,0.28,13,1,1,0,0.05,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,2779,4.1,3
2012,9/17/2012,2,40.91514568,-124.4734278,385.4,1,f,26,26,26,0.26,13,0,1,0,0.05,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,2401,4.1,3
2012,9/2/2012,2,44.50917451,-124.9121836,451.5,1,f,26,26,26,0.3,13,1,0,0,0.3,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,2991,3,2
